filename,gender,bodyPartFolder,matchedId,matchedName,tier,score,uploaded,uploadError
"Stretching - Standing Back Rotation Stretch.mp4","male","back","","","unmatched","","",""
"Stretching - Standing Lateral Stretch (1).mp4","male","back","1jXLYEw","standing lateral stretch","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-video/1jXLYEw-male.mp4 --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\1jXLYEw-male.mp4 --remote [33m▲ [43;33m[[43;30mWARNING[43;33m][0m [1mA fetch request failed  likely due to a connectivi"
"Stretching - Standing Lateral Stretch.mp4","male","back","1jXLYEw","standing lateral stretch","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-video/1jXLYEw-male.mp4 --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\1jXLYEw-male.mp4 --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a39"
"Barbell Curl.mp4","male","biceps","25GPyDY","barbell curl","exact","1.00","true",""
"Barbell Drag Curl.mp4","male","biceps","IENzBdA","barbell drag curl","exact","1.00","true",""
"Barbell Prone Incline Curl.mp4","male","biceps","WLvTAv5","barbell prone incline curl","exact","1.00","true",""
"Cable One Arm Curl.mp4","male","biceps","YTur5nR","cable one arm curl","exact","1.00","true",""
"Cable Standing Inner Curl.mp4","male","biceps","YwnI4ja","cable standing inner curl","exact","1.00","true",""
"Dumbbell Alternate Biceps Curl.mp4","male","biceps","BU15nH4","dumbbell alternate biceps curl","gemini","","true",""
"Dumbbell Alternate Seated Biceps Curl.mp4","male","biceps","TiaZTxx","dumbbell seated curl","gemini","","true",""
"Dumbbell Biceps Curl.mp4","male","biceps","NbVPDMW","dumbbell biceps curl","gemini","","true",""
"Dumbbell Concentration Curl.mp4","male","biceps","gvsWLQw","dumbbell concentration curl","exact","1.00","true",""
"Dumbbell Cross Body Hammer Curl.mp4","male","biceps","Qyk5J3p","dumbbell cross body hammer curl","exact","1.00","true",""
"Dumbbell Incline Biceps Curl.mp4","male","biceps","F3xgbjF","dumbbell incline biceps curl","exact","1.00","true",""
"Dumbbell Incline Curl.mp4","male","biceps","ae9UoXQ","dumbbell incline curl","exact","1.00","true",""
"Dumbbell Incline Hammer Curl.mp4","male","biceps","ByX0WxV","dumbbell incline hammer curl","exact","1.00","true",""
"Dumbbell One Arm Zottman Preacher Curl.mp4","male","biceps","sxY5Biu","dumbbell one arm zottman preacher curl","exact","1.00","true",""
"Dumbbell Preacher Curl Over Exercise Ball.mp4","male","biceps","hwygydB","dumbbell preacher curl over exercise ball","exact","1.00","true",""
"Dumbbell Prone Incline Curl.mp4","male","biceps","mwpPcr1","dumbbell prone incline curl","exact","1.00","true",""
"Dumbbell Seated Preacher Curl.mp4","male","biceps","7D5bgLT","dumbbell seated preacher curl","exact","1.00","true",""
"EZ Barbell Biceps Curl.mp4","male","biceps","6TG6x2w","ez barbell curl","gemini","","true",""
"Lever Preacher Curl.mp4","male","biceps","b6hQYMb","lever preacher curl","exact","1.00","true",""
"Lying Supine Dumbbell Curl.mp4","male","biceps","KUaZst7","dumbbell lying supine curl","near_exact","1.00","true",""
"Stretching - Butterfly Yoga Pose.mp4","male","biceps","bWlZvXh","butterfly yoga pose","gemini","","true",""
"Band Standing Calf Raise.mp4","male","calves","","","unmatched","","",""
"Donkey Calf Raise.mp4","male","calves","u5ESqzH","donkey calf raise","exact","1.00","true",""
"Dumbbell Seated Calf Raise.mp4","male","calves","r29jP7S","dumbbell seated calf raise","exact","1.00","true",""
"Dumbbell Single Leg Calf Raise.mp4","male","calves","1kB3Wmk","dumbbell single leg calf raise","exact","1.00","true",""
"Dumbbell Standing Calf Raise.mp4","male","calves","dPmaUaU","dumbbell standing calf raise","exact","1.00","true",""
"Lever Seated Calf Raise.mp4","male","calves","bOOdeyc","lever seated calf raise","exact","1.00","true",""
"Lever Standing Calf Raise.mp4","male","calves","ykUOVze","lever standing calf raise","exact","1.00","true",""
"Sled 45 Degree Calf Press.mp4","male","calves","qCNVnaU","sled 45в° calf press","gemini","","true",""
"Smith Calf Raise.mp4","male","calves","6MaEjVA","smith standing leg calf raise","gemini","","true",""
"Stretching - Calf Stretch with Rope.mp4","male","calves","1LVFcEn","calf stretch with rope","gemini","","true",""
"Stretching - Calf Stretch with Strap.mp4","male","calves","xTjr103","standing hamstring and calf stretch with strap","gemini","","true",""
"Stretching - Circles Knee Stretch.mp4","male","calves","X7jbxra","circles knee stretch","gemini","","true",""
"Stretching - Feet and Ankles Rotation Stretch.mp4","male","calves","","","unmatched","","",""
"Stretching - Feet and Ankles Stretch.mp4","male","calves","","","unmatched","","",""
"Stretching - Peroneals Stretch.mp4","male","calves","XhfS1DZ","peroneals stretch","gemini","","true",""
"Stretching - Seated Calf Stretch.mp4","male","calves","17bqEXD","seated calf stretch (male)","gemini","","true",""
"Stretching - Stairs Calf Stretch.mp4","male","calves","qOKcgVP","standing calves calf stretch","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\qOKcgVP-male.mp4 -frames:v 1 -q:v 4 D:"
"Stretching - Standing Bench Calf Stretch.mp4","male","calves","qOKcgVP","standing calves calf stretch","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\qOKcgVP-male.mp4 -frames:v 1 -q:v 4 D:"
"Battling Ropes.mp4","male","cardio","RJa4tCo","battling ropes","exact","1.00","true",""
"Burpee.mp4","male","cardio","dK9394r","burpee","exact","1.00","true",""
"Cardio Exercises Machines.mp4","male","cardio","","","unmatched","","",""
"Cardio Exercises.mp4","male","cardio","","","unmatched","","",""
"Elliptical.mp4","male","cardio","PCUYOMs","pulse style walk elliptical cross trainer","gemini","","true",""
"Jump Rope.mp4","male","cardio","e1e76I2","jump rope","exact","1.00","true",""
"Jump Step-up.mp4","male","cardio","step_up","Step-Up","gemini","","true",""
"Jumping Jack.mp4","male","cardio","jumping_jacks","Jumping Jacks","gemini","","true",""
"Running.mp4","male","cardio","","","unmatched","","",""
"Stationary Bike.mp4","male","cardio","a8VDgLw","stationary bike walk","gemini","","true",""
"Stretching - Bridge Pose Setu Bandhasana (1).mp4","male","cardio","qKBpF7I","barbell glute bridge","gemini","","true",""
"Stretching - Bridge Pose Setu Bandhasana.mp4","male","cardio","","","unmatched","","",""
"Stretching - Flexion Leg Sit-up.mp4","male","cardio","KZn52RC","flexion leg sit up (straight arm)","gemini","","true",""
"Stretching - Front Toe Touch.mp4","male","cardio","BbfB8Gb","basic toe touch (male)","gemini","","true",""
"Stretching - Plyo Side Lunge Stretch.mp4","male","cardio","13VW2VO","weighted stretch lunge","gemini","","true",""
"Stretching - Single Leg Stretch (bent knee).mp4","male","cardio","","","unmatched","","",""
"Stretching - Single Straight Leg Stretch.mp4","male","cardio","","","unmatched","","",""
"Treadmill Running.mp4","male","cardio","","","unmatched","","",""
"Walk Wave Machine.mp4","male","cardio","rjtuP6X","walk elliptical cross trainer","gemini","","true",""
"Band High Fly.mp4","male","chest","cable_fly","Cable Fly","gemini","","true",""
"Barbell Bench Press.mp4","male","chest","EIeI8Vf","barbell bench press","exact","1.00","true",""
"Barbell Decline Bench Press.mp4","male","chest","GrO65fd","barbell decline bench press","exact","1.00","true",""
"Barbell Incline Bench Press.mp4","male","chest","3TZduzM","barbell incline bench press","exact","1.00","true",""
"Cable Lying Fly, Flat Bench Cable Fly.mp4","male","chest","lJJ7Yq8","cable lying fly","gemini","","true",""
"Cable Standing Fly, Crossover fly.mp4","male","chest","Pr9Rhf4","cable standing fly","gemini","","true",""
"Chest Dips.mp4","male","chest","XgWyAiA","chest dip (on dip-pull-up cage)","gemini","","true",""
"Decline Dumbbell Bench Press (45 degree).mp4","male","chest","DwhEmmE","dumbbell decline bench press","near_exact","1.00","true",""
"Deep Push-ups.mp4","male","chest","vptOQ4N","deep push up","gemini","","true",""
"Dumbbell Bench Press.mp4","male","chest","SpYC0Kp","dumbbell bench press","exact","1.00","true",""
"Dumbbell Decline Fly (45 degree) (1).mp4","male","chest","xXm4nYq","dumbbell decline fly","exact","1.00","true",""
"Dumbbell Decline Fly (45 degree).mp4","male","chest","xXm4nYq","dumbbell decline fly","exact","1.00","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/xXm4nYq-male.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\xXm4nYq-male.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a3"
"Dumbbell Fly On Exercise Ball.mp4","male","chest","Lt3iWnf","dumbbell fly on exercise ball","exact","1.00","true",""
"Dumbbell Fly.mp4","male","chest","yz9nUhF","dumbbell fly","exact","1.00","true",""
"Dumbbell Incline Bench Press.mp4","male","chest","ns0SIbU","dumbbell incline bench press","exact","1.00","true",""
"Dumbbell Incline Fly On Exercise Ball.mp4","male","chest","HYe1ZqR","dumbbell incline fly on exercise ball","exact","1.00","true",""
"Dumbbell Incline Fly.mp4","male","chest","ESOd5Pl","dumbbell incline fly","exact","1.00","true",""
"Dumbbell Lying Hammer Press.mp4","male","chest","7gdLIXa","dumbbell lying hammer press","exact","1.00","true",""
"Incline Push-Ups.mp4","male","chest","F7vjXqT","incline push-up (on box)","gemini","","true",""
"Lever Chest Press.mp4","male","chest","DOoWcnA","lever chest press","gemini","","true",""
"Lever Incline Hammer Chest Press.mp4","male","chest","jHAnWmT","lever incline chest press","gemini","","true",""
"Lever Lying Chest Press.mp4","male","chest","DOoWcnA","lever chest press","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-video/DOoWcnA-male.mp4 --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\DOoWcnA-male.mp4 --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a39"
"Lever Pec Deck Fly.mp4","male","chest","v3xmPAR","lever seated fly","gemini","","true",""
"Push-ups.mp4","male","chest","I4hDWkc","push-up","gemini","","true",""
"Stretching - Above Head Chest Stretch.mp4","male","chest","QoHIhPl","behind head chest stretch","gemini","","true",""
"Stretching - Back Pec Stretch.mp4","male","chest","chfnQnM","back pec stretch","gemini","","true",""
"Stretching - Dynamic Chest Stretch.mp4","male","chest","3uj0Ozg","dynamic chest stretch (male)","gemini","","true",""
"Stretching - Kneeling Back Rotation Stretch.mp4","male","chest","f38OEuO","kneeling lat stretch","gemini","","true",""
"Stretching - Standing Reach Up Back Rotation Stretch.mp4","male","chest","chfnQnM","back pec stretch","gemini","","true",""
"Stretching - Standing Wheel Rollout.mp4","male","chest","KtRomty","standing wheel rollerout","gemini","","true",""
"Triceps Dips.mp4","male","chest","","","unmatched","","",""
"Wide Grip Push-ups.mp4","male","chest","JmMVpR3","wide hand push up","gemini","","true",""
"Barbell Reverse Wrist Curl (over-grip).mp4","male","Forearms","LsZkfU6","barbell reverse wrist curl","exact","1.00","true",""
"Barbell Standing Back Wrist Curl.mp4","male","Forearms","2qTvJAZ","barbell standing back wrist curl","exact","1.00","true",""
"Dumbbell Behind Back Wrist Curl.mp4","male","Forearms","2qTvJAZ","barbell standing back wrist curl","gemini","","true",""
"Dumbbell Over Bench Wrist Curl.mp4","male","Forearms","D1xYJAU","dumbbell over bench wrist curl","exact","1.00","true",""
"Dumbbell Seated Neutral Wrist Curl.mp4","male","Forearms","uJmK7Z1","dumbbell seated neutral wrist curl","exact","1.00","true",""
"Stretching - Side Wrist Pull Stretch.mp4","male","Forearms","UtmIqcI","side wrist pull stretch","gemini","","true",""
"Stretching - Wrist Circles.mp4","male","Forearms","2zNKRUB","wrist circles","gemini","","true",""
"Weighted Standing Curl.mp4","male","Forearms","M5Y7GPg","weighted standing curl","exact","1.00","true",""
"Band Bent Over Hip Extension.mp4","male","Hips","wSScovH","band bent-over hip extension","gemini","","true",""
"Band Hip Abduction.mp4","male","Hips","7WaDzyL","side hip abduction","gemini","","true",""
"Band Hip Adduction.mp4","male","Hips","hBGWILP","cable hip adduction","gemini","","true",""
"Band Leg Curl.mp4","male","Hips","leg_curl","Leg Curl","gemini","","true",""
"Band Seated Leg Extension.mp4","male","Hips","Y1MsI1l","resistance band leg extension","gemini","","true",""
"Band Standing Hip Extension.mp4","male","Hips","Kpajagk","cable standing hip extension","gemini","","true",""
"Band Standing Leg Curl.mp4","male","Hips","C5jncD2","standing single leg curl","gemini","","true",""
"Barbell Clean And Press.mp4","male","Hips","SGY8Zui","barbell clean and press","exact","1.00","true",""
"Barbell Front Chest Squat.mp4","male","Hips","IeTIEqg","barbell front chest squat","exact","1.00","true",""
"Barbell Lunge.mp4","male","Hips","t8iSghb","barbell lunge","exact","1.00","true",""
"Classic Barbell Squat.mp4","male","Hips","barbell_squat","Barbell Squat","gemini","","true",""
"Close Feet Leg Press.mp4","male","Hips","10Z2DXU","sled 45в° leg press","gemini","","true",""
"Dumbbell Bar Grip Sumo Squat.mp4","male","Hips","HsvHqgf","dumbbell squat","gemini","","true",""
"Dumbbell Front Squat.mp4","male","Hips","HsvHqgf","dumbbell squat","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/HsvHqgf-male.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\HsvHqgf-male.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a3"
"Dumbbell Goblet Squat.mp4","male","Hips","yn8yg1r","dumbbell goblet squat","exact","1.00","true",""
"Dumbbell Lunge.mp4","male","Hips","RRWFUcw","dumbbell lunge","exact","1.00","true",""
