src/components/advanced/Camera.tsx(66,3): error TS2339: Property 'visible' does not exist on type 'CameraProps'.
src/components/fitness/WorkoutCard.tsx(70,11): error TS2322: Type 'any[]' is not assignable to type 'ViewStyle'.
src/components/forms/index.ts(4,32): error TS2307: Cannot find module './OnboardingForm' or its corresponding type declarations.
src/components/forms/index.ts(5,29): error TS2307: Cannot find module './ProfileForm' or its corresponding type declarations.
src/components/forms/index.ts(6,29): error TS2307: Cannot find module './MealLogForm' or its corresponding type declarations.
src/components/migration/MigrationIntegration.tsx(112,37): error TS2339: Property 'conflicts' does not exist on type 'MigrationResult'.
src/components/migration/MigrationIntegration.tsx(114,41): error TS2339: Property 'conflicts' does not exist on type 'MigrationResult'.
src/components/migration/MigrationProgressModal.tsx(19,28): error TS2614: Module '"../../services/migrationManager"' has no exported member 'MigrationProgress'. Did you mean to use 'import MigrationProgress from "../../services/migrationManager"' instead?
src/components/notifications/NotificationEditModal.tsx(22,38): error TS2367: This comparison appears to be unintentional because the types 'WebManifest | undefined' and 'boolean' have no overlap.
src/components/notifications/WaterReminderEditModal.tsx(21,38): error TS2367: This comparison appears to be unintentional because the types 'WebManifest | undefined' and 'boolean' have no overlap.
src/components/nutrition/IngredientDetailModal.tsx(44,10): error TS2339: Property 'name' does not exist on type 'MealItem'.
src/components/nutrition/IngredientDetailModal.tsx(45,48): error TS2339: Property 'name' does not exist on type 'MealItem'.
src/components/nutrition/IngredientDetailModal.tsx(152,67): error TS2339: Property 'name' does not exist on type 'MealItem'.
src/components/nutrition/IngredientDetailModal.tsx(157,58): error TS2339: Property 'unit' does not exist on type 'MealItem'.
src/components/nutrition/IngredientDetailModal.tsx(227,72): error TS2339: Property 'unit' does not exist on type 'MealItem'.
src/components/nutrition/NutritionAnalytics.tsx(170,96): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(174,44): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(181,75): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(192,94): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(194,86): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(200,75): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(211,92): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(213,84): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(219,75): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/nutrition/NutritionAnalytics.tsx(277,76): error TS2339: Property 'macroTargets' does not exist on type 'NutritionGoals'.
src/components/subscription/PaywallModal.tsx(137,13): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(138,15): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(139,17): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(141,19): error TS2322: Type '{ children: (false | Element)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(142,21): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(143,23): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(144,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(147,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(154,19): error TS2322: Type '{ children: Element; onPress: () => void; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PaywallModal.tsx(156,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(162,23): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(163,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(166,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(173,25): error TS2322: Type '{ children: Element[]; className: string; showsVerticalScrollIndicator: false; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<ScrollView> & Readonly<ScrollViewProps>'.
src/components/subscription/PaywallModal.tsx(175,21): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(176,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(180,23): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(189,25): error TS2322: Type '{ children: (Element | null)[]; key: string; onPress: () => void; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PaywallModal.tsx(197,33): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(198,35): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(204,31): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(205,33): error TS2322: Type '{ children: (false | 0 | Element | undefined)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(206,35): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(212,35): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(217,37): error TS2322: Type '{ children: (string | number)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(223,33): error TS2322: Type '{ children: ("" | Element | undefined)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(224,35): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(231,37): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(236,35): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(243,31): error TS2322: Type '{ children: false | Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(249,35): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(250,37): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(261,21): error TS2322: Type '{ children: (false | Element | undefined)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(264,19): error TS2322: Type '{ children: Element[]; onPress: () => void; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PaywallModal.tsx(266,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(269,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(277,25): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(279,41): error TS2322: Type '{ children: Element[]; key: number; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(280,31): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(283,31): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(294,19): error TS2322: Type '{ children: ("" | Element | null)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(297,23): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(298,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(308,17): error TS2322: Type '{ children: Element; onPress: () => Promise<void>; disabled: boolean; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PaywallModal.tsx(317,25): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(329,17): error TS2322: Type '{ children: Element; onPress: () => Promise<void>; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PaywallModal.tsx(331,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PaywallModal.tsx(337,21): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PaywallModal.tsx(338,23): error TS2322: Type '{ children: string[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(57,11): error TS2322: Type '{ children: Element[]; onPress: (() => void) | undefined; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PremiumBadge.tsx(59,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(60,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(69,15): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(70,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(71,17): error TS2322: Type '{ children: (string | number)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(84,15): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(85,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(86,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(102,11): error TS2322: Type '{ children: Element; onPress: (() => void) | undefined; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PremiumBadge.tsx(104,17): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(105,19): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(106,21): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(107,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(108,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(112,21): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(117,19): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(118,21): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(129,15): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(130,17): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(131,19): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(132,21): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(133,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(134,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(138,21): error TS2322: Type '{ children: (string | number)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(143,19): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(144,21): error TS2322: Type '{ children: (string | number)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(159,15): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(160,17): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(161,19): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(162,21): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(163,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(164,23): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(168,21): error TS2322: Type '{ children: (string | false | undefined)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(176,19): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(177,21): error TS2322: Type '{ children: "monthly" | "yearly" | "lifetime" | "free"; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(193,38): error TS2322: Type '{ children: Element[]; onPress: (() => void) | undefined; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PremiumBadge.tsx(194,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(195,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(204,15): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(205,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(206,17): error TS2322: Type '{ children: (string | number)[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(219,15): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumBadge.tsx(220,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumBadge.tsx(221,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumGate.tsx(40,13): error TS2322: Type '{ children: Element[]; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumGate.tsx(41,15): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/subscription/PremiumGate.tsx(42,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumGate.tsx(45,15): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumGate.tsx(49,15): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumGate.tsx(55,11): error TS2322: Type '{ children: Element; onPress: () => void; className: string; }' is not assignable to type 'IntrinsicAttributes & PressableProps & RefAttributes<View>'.
src/components/subscription/PremiumGate.tsx(57,17): error TS2322: Type '{ children: string; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<Text> & Readonly<TextProps>'.
src/components/subscription/PremiumGate.tsx(62,15): error TS2322: Type '{ children: Element; className: string; }' is not assignable to type 'IntrinsicAttributes & IntrinsicClassAttributes<View> & Readonly<ViewProps>'.
src/components/ui/Card.tsx(57,44): error TS18046: 'child.props' is of type 'unknown'.
src/components/ui/Card.tsx(65,38): error TS2339: Property 'children' does not exist on type '{}'.
src/components/ui/Card.tsx(66,64): error TS2339: Property 'children' does not exist on type '{}'.
src/components/ui/Card.tsx(67,45): error TS2339: Property 'children' does not exist on type '{}'.
src/components/ui/ChipSelector.tsx(93,11): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/CustomDialog.tsx(121,25): error TS2322: Type '{}[]' is not assignable to type 'ViewStyle'.
src/components/ui/CustomDialog.tsx(295,33): error TS2339: Property 'statsContainer' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(296,35): error TS2339: Property 'statsTitle' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(298,35): error TS2339: Property 'statsGrid' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(299,37): error TS2339: Property 'statItem' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
